S. No.,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Recovered,Deaths
1,Andhra Pradesh,1,0,0,0
2,Delhi,9,1,2,1
3,Haryana,3,14,0,0
4,Karnataka,11,0,0,1
5,Kerala,25,2,3,0
6,Maharashtra,39,3,0,1
7,Odisha,1,0,0,0
8,Pondicherry,1,0,0,0
9,Punjab,1,0,0,0
10,Rajasthan,2,2,3,0
11,Tamil Nadu,1,0,0,0
12,Telengana,4,2,1,0
13,Union Territory of Jammu and Kashmir,3,0,0,0
14,Uttar Pradesh,15,1,5,0
15,Union Territory of Ladakh,8,0,0,0
16,Uttarakhand,1,0,0,0
17,West Bengal,1,0,0,0